id,title,GW,xG,xGA,npxG,npxGA,att,def,att,def,deep,deep_allowed,GF,GA,xpts,wins,draws,loses,pts,npxGD
138,Sevilla,1,2.40044,0.145879,2.40044,0.145879,256,23,327,29,6,0,2,0,2.9074,1,0,0,3,2.2545610000000003,
,Sevilla,2,1.39211,0.428332,1.39211,0.428332,181,24,238,21,3,6,1,0,2.271,1,0,0,3,0.963778,
,Sevilla,3,1.50787,0.454026,1.50787,0.454026,190,33,283,19,10,2,1,1,2.2085999999999997,0,1,0,1,1.053844,
,Sevilla,4,1.091,0.773661,1.091,0.773661,176,20,335,30,13,1,1,0,1.5700999999999998,1,0,0,3,0.3173389999999999,
,Sevilla,5,0.394624,1.23916,0.394624,1.23916,232,26,303,29,1,9,0,1,0.5596000000000001,0,0,1,0,-0.8445360000000001,
,Sevilla,6,1.3532,1.69937,1.3532,0.956094,205,23,322,33,5,6,2,3,1.0274,0,0,1,0,0.39710599999999996,
,Sevilla,7,1.60195,0.774246,1.60195,0.774246,277,17,268,18,17,4,3,2,2.018,1,0,0,3,0.827704,
,Sevilla,8,3.03653,2.40324,3.03653,2.40324,343,30,242,23,8,5,0,4,1.7977,0,0,1,0,0.6332900000000001,
,Sevilla,9,2.58436,0.459674,2.58436,0.459674,155,32,239,18,8,2,1,0,2.7327,1,0,0,3,2.124686,
,Sevilla,10,2.14059,0.62652,2.14059,0.62652,108,28,284,37,4,4,2,0,2.5833,1,0,0,3,1.51407,
,Sevilla,11,0.46703,1.0283,0.46703,1.0283,250,30,275,13,4,4,1,1,0.7865,0,1,0,1,-0.5612699999999999,
,Sevilla,12,0.888419,2.45211,0.888419,1.69342,209,33,314,32,3,9,1,1,0.3029,0,1,0,1,-0.805001,
,Sevilla,13,0.993088,1.56474,0.993088,1.56474,255,26,205,20,2,5,2,1,0.8618,1,0,0,3,-0.571652,
,Sevilla,14,1.11673,0.363545,0.373453,0.363545,197,25,264,34,7,4,1,0,2.2056000000000004,1,0,0,3,0.009907999999999972,
,Sevilla,15,2.44081,1.05322,2.44081,1.05322,183,21,361,18,3,5,1,0,2.3648000000000002,1,0,0,3,1.3875899999999999,
,Sevilla,16,1.46737,0.661362,1.46737,0.661362,154,18,288,34,5,2,1,1,2.0426,0,1,0,1,0.8060080000000001,
,Sevilla,17,1.73952,1.62777,1.73952,1.62777,138,25,338,11,12,4,1,2,1.4414999999999998,0,0,1,0,0.11175000000000002,
,Sevilla,18,1.80841,0.788281,1.06514,0.788281,139,24,296,41,7,5,2,0,2.2218999999999998,1,0,0,3,0.27685899999999997,
,Sevilla,19,1.07523,0.237728,1.07523,0.237728,174,19,323,30,5,1,1,1,2.2106999999999997,0,1,0,1,0.837502,
,Sevilla,20,0.373928,1.37156,0.373928,1.37156,288,19,319,35,3,7,1,2,0.4945,0,0,1,0,-0.9976319999999999,
,Sevilla,21,0.807577,0.475664,0.807577,0.475664,189,22,298,40,7,1,2,0,1.6303,1,0,0,3,0.331913,
,Sevilla,22,1.64919,0.984092,0.90604,0.984092,94,28,387,20,8,1,1,1,1.9048,0,1,0,1,-0.07805200000000001,
,Sevilla,23,1.13918,1.38338,1.13918,1.38338,220,28,307,33,5,9,1,2,1.1665,0,0,1,0,-0.24419999999999997,
,Sevilla,24,1.65914,0.622409,1.65914,0.622409,97,31,287,22,12,2,2,2,2.1931,0,1,0,1,1.036731,
,Sevilla,25,2.82001,0.460518,2.82001,0.460518,132,27,164,27,7,4,3,0,2.8891,1,0,0,3,2.359492,
,Sevilla,26,1.64954,1.80118,1.64954,1.0579,99,17,271,31,8,3,3,2,1.2242000000000002,1,0,0,3,0.5916399999999999,
,Sevilla,27,1.61538,2.04826,0.872107,1.30498,190,24,278,31,4,4,2,2,1.0544,0,1,0,1,-0.43287300000000006,
,Sevilla,28,2.11983,0.481345,1.37668,0.481345,307,25,208,26,8,6,2,0,2.6252999999999997,1,0,0,3,0.8953349999999999,
,Sevilla,29,1.06949,0.807331,1.06949,0.807331,231,23,351,27,1,5,1,1,1.592,0,1,0,1,0.26215900000000003,
,Sevilla,30,0.824926,0.741303,0.824926,0.741303,345,14,240,16,0,6,0,0,1.4342000000000001,0,1,0,1,0.083623,
,Sevilla,31,1.2636,1.08857,1.2636,1.08857,229,38,329,23,6,7,2,2,1.4746,0,1,0,1,0.17503000000000002,
,Sevilla,32,1.59745,0.583726,0.854169,0.583726,110,21,391,22,7,1,1,1,2.2542,0,1,0,1,0.270443,
,Sevilla,33,0.710464,0.756658,0.710464,0.756658,227,23,334,33,3,2,3,0,1.2427,1,0,0,3,-0.04619400000000007,
