id,title,xG,xGA,npxG,npxGA,att,def,att,def,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD
98,Juventus,1.88829,0.264026,1.88829,0.264026,192,29,256,24,9,1,1,0,2.6292999999999997,1,0,0,3,1.6242640000000002,
,,2.0077,1.58762,2.0077,1.58762,321,22,261,27,7,5,4,3,1.7017,1,0,0,3,0.4200799999999998,
,,0.324648,1.47787,0.324648,1.47787,193,33,283,21,5,6,0,0,0.4265,0,1,0,1,-1.153222,
,,1.86372,1.8415,1.10242,1.02083,173,18,309,31,10,7,2,1,1.3105,1,0,0,3,0.08159000000000005,
,,1.88191,0.686153,1.88191,0.686153,162,28,403,20,11,4,2,1,2.2775,1,0,0,3,1.195757,
,,2.36566,0.160279,2.36566,0.160279,190,34,352,16,8,2,2,0,2.7989,1,0,0,3,2.205381,
,,1.22127,1.53885,1.22127,0.777551,297,22,223,28,5,5,2,1,1.0447,1,0,0,3,0.4437190000000001,
,,1.85733,0.959285,1.85733,0.959285,168,28,317,27,13,1,2,1,2.0767,1,0,0,3,0.8980449999999999,
,,3.57172,1.05543,2.81042,0.294135,113,22,299,18,14,3,1,1,2.7878,0,1,0,1,2.5162850000000003,
,,2.65664,0.269772,1.89534,0.269772,333,59,249,14,10,3,2,1,2.8448,1,0,0,3,1.625568,
,,1.78754,0.35915,1.78754,0.35915,103,18,215,24,10,5,1,0,2.5084999999999997,1,0,0,3,1.4283899999999998,
,,1.11956,0.517282,1.11956,0.517282,216,37,266,26,4,8,1,0,1.8747,1,0,0,3,0.6022780000000001,
,,1.20522,2.78945,1.20522,1.99374,195,22,287,38,8,7,3,1,0.41580000000000006,1,0,0,3,-0.7885200000000001,
,,4.34699,0.69873,3.5857,0.69873,238,28,304,16,11,3,2,2,2.9172000000000002,0,1,0,1,2.8869700000000003,
,,1.46889,2.25743,1.46889,1.36925,212,26,353,19,8,6,1,3,0.7233,0,0,1,0,0.09963999999999995,
,,2.21259,1.24612,2.21259,1.24612,216,19,472,11,13,5,3,1,2.0195000000000003,1,0,0,3,0.9664700000000002,
,,0.874375,0.558008,0.874375,0.558008,139,27,471,26,3,3,2,1,1.6382,1,0,0,3,0.31636700000000006,
,,3.2802,0.403038,2.5189,0.403038,251,31,371,22,6,2,4,0,2.9061,1,0,0,3,2.115862,
,,1.34236,2.58161,0.581061,1.82031,269,19,320,29,4,10,2,1,0.5274,1,0,0,3,-1.239249,
,,1.3483,0.206503,1.3483,0.206503,217,28,347,17,3,10,2,1,2.3662,1,0,0,3,1.141797,
,,0.652726,1.26806,0.652726,1.26806,345,31,304,19,3,3,1,2,0.803,0,0,1,0,-0.6153339999999999,
,,2.91178,0.913393,1.38918,0.913393,119,24,397,20,7,2,3,0,2.7071,1,0,0,3,0.47578700000000007,
,,1.08835,1.69256,1.08835,0.931259,220,28,243,26,8,8,1,2,0.8678,0,0,1,0,0.15709099999999998,
,,2.89308,0.242874,2.89308,0.242874,179,34,314,16,14,0,2,0,2.8598,1,0,0,3,2.650206,
,,1.86761,1.09171,1.86761,0.330412,265,30,341,35,5,5,2,1,1.9689,1,0,0,3,1.537198,
,,1.2442,0.437285,1.2442,0.437285,334,22,351,28,4,6,2,0,2.0411,1,0,0,3,0.806915,
,,1.78947,0.577534,1.02821,0.577534,193,25,239,34,5,1,2,0,2.3623,1,0,0,3,0.4506760000000001,
,,4.35037,0.31442,3.58907,0.31442,214,18,231,7,11,4,4,0,2.9762999999999997,1,0,0,3,3.27465,
,,0.793958,0.19977,0.793958,0.19977,269,34,371,25,4,1,3,1,1.8828,1,0,0,3,0.594188,
,,1.76945,1.45566,1.76945,0.694359,276,25,250,27,8,8,4,1,1.5779999999999998,1,0,0,3,1.075091,
,,1.40733,2.21519,1.40733,1.45389,290,24,262,19,4,7,2,4,0.7852,0,0,1,0,-0.046559999999999935,
,,1.79282,0.699271,0.270346,0.699271,321,17,328,27,4,4,2,2,2.3771,0,1,0,1,-0.428925,
,,2.43394,1.89854,2.43394,1.89854,330,27,229,21,5,10,3,3,1.7183000000000002,0,1,0,1,0.5354000000000003,
,,3.70839,1.18841,2.94709,0.427113,300,25,279,16,8,6,2,1,2.8618,1,0,0,3,2.5199770000000004,
,,0.646151,1.25842,0.646151,1.25842,262,27,340,19,3,2,1,2,0.7939,0,0,1,0,-0.6122690000000001,
,,3.493,1.0882,2.7317,1.0882,207,28,378,18,8,5,2,0,2.7489999999999997,1,0,0,3,1.6435,
,,1.26452,1.06185,1.26452,1.06185,186,23,320,20,3,1,0,2,1.4657999999999998,0,0,1,0,0.20267000000000013,
,,1.04247,1.93545,1.04247,1.17419,285,30,364,19,4,5,1,3,0.6458999999999999,0,0,1,0,-0.13172000000000006,
,,
