id,title,GW,xG,xGA,npxG,npxGA,att,def,att,def,deep,deep_allowed,GF,GA,xpts,wins,draws,loses,pts,npxGD
117,Bayern Munich,1,2.47707,1.18459,1.71929,1.18459,168,16,373,23,17,2,2,2,2.3576,0,1,0,1,0.5347,
,Bayern Munich,2,1.59729,1.08016,0.83951,1.08016,184,19,457,25,9,6,3,0,1.8269000000000002,1,0,0,3,-0.24065000000000003,
,Bayern Munich,3,3.34597,0.72047,3.34597,0.72047,166,31,407,20,8,2,6,1,2.8148,1,0,0,3,2.6254999999999997,
,Bayern Munich,4,1.6704,1.65427,1.6704,0.896496,192,21,481,28,10,7,1,1,1.3717000000000001,0,1,0,1,0.7739040000000001,
,Bayern Munich,5,2.92351,1.03267,2.16573,1.03267,198,25,319,22,12,7,4,0,2.5456,1,0,0,3,1.13306,
,Bayern Munich,6,3.47305,0.281111,3.47305,0.281111,207,21,420,25,17,2,3,2,2.9263999999999997,1,0,0,3,3.191939,
,Bayern Munich,7,1.77327,0.723738,1.77327,0.723738,238,29,408,19,11,3,1,2,2.1699,0,0,1,0,1.049532,
,Bayern Munich,8,3.06071,2.14428,3.06071,2.14428,107,17,436,13,20,3,2,2,1.9958000000000002,0,1,0,1,0.9164299999999996,
,Bayern Munich,9,2.88476,1.7324,2.88476,0.216846,195,22,435,28,15,0,2,1,2.1713,1,0,0,3,2.667914,
,Bayern Munich,10,1.08228,2.99704,1.08228,2.99704,225,15,428,43,5,7,1,5,0.2945,0,0,1,0,-1.9147600000000002,
,Bayern Munich,11,3.90951,0.608676,3.90951,0.608676,270,27,402,22,8,1,4,0,2.9342,1,0,0,3,3.300834,
,Bayern Munich,12,3.81728,0.443491,3.81728,0.443491,128,23,421,13,14,3,4,0,2.9464,1,0,0,3,3.373789,
,Bayern Munich,13,2.24624,1.44804,2.24624,1.44804,129,28,410,20,16,3,1,2,1.8971,0,0,1,0,0.7981999999999998,
,Bayern Munich,14,1.74378,1.33084,1.74378,0.573068,184,33,319,32,8,2,1,2,1.6604,0,0,1,0,1.170712,
,Bayern Munich,15,5.83554,0.536081,5.83554,0.536081,150,31,397,12,15,3,6,1,2.9933,1,0,0,3,5.299459,
