id,title,GW,xG,xGA,npxG,npxGA,att,def,att,def,deep,deep_allowed,GF,GA,xpts,wins,draws,loses,pts,npxGD
83,Arsenal,1,1.13309,0.380551,1.13309,0.380551,210,19,383,29,10,1,1,0,2.073,1,0,0,3,0.752539,
,Arsenal,2,1.1644,1.39172,1.1644,1.39172,85,16,296,26,8,4,2,1,1.1533,1,0,0,3,-0.22731999999999997,
,Arsenal,3,0.985542,2.78821,0.985542,2.02704,199,7,362,37,7,9,1,3,0.3434,0,0,1,0,-1.0414979999999998,
,Arsenal,4,1.92509,1.95514,1.92509,1.19397,224,33,207,17,12,6,2,2,1.2919,0,1,0,1,0.73112,
,Arsenal,5,1.00616,2.83209,1.00616,2.07092,257,12,254,28,7,12,2,2,0.3084,0,1,0,1,-1.0647600000000002,
,Arsenal,6,2.53209,1.71546,1.77093,1.71546,182,20,242,22,12,8,3,2,1.9361000000000002,1,0,0,3,0.05546999999999991,
,Arsenal,7,1.70399,1.1335,1.70399,1.1335,243,24,160,27,7,5,1,1,1.825,0,1,0,1,0.5704899999999999,
,Arsenal,8,1.24109,0.683967,1.24109,0.683967,246,35,235,23,10,7,1,0,1.8761999999999999,1,0,0,3,0.557123,
,Arsenal,9,0.949735,0.895722,0.949735,0.895722,107,18,342,28,8,6,0,1,1.3294000000000001,0,0,1,0,0.05401299999999998,
,Arsenal,10,1.54014,1.77892,1.54014,1.01775,161,21,263,10,8,1,2,2,1.1002,0,1,0,1,0.5223900000000001,
,Arsenal,11,1.02552,1.5103,1.02552,1.5103,197,14,294,25,9,6,1,1,0.9812,0,1,0,1,-0.48478,
,Arsenal,12,0.961339,1.37055,0.961339,1.37055,240,14,275,34,10,14,0,2,1.0485,0,0,1,0,-0.4092109999999999,
,Arsenal,13,1.60823,2.60312,1.60823,1.68664,144,24,257,35,3,10,2,2,0.7111999999999999,0,1,0,1,-0.07840999999999987,
,Arsenal,14,1.96157,0.810596,1.20044,0.810596,205,26,296,12,10,2,2,2,2.3135,0,1,0,1,0.38984399999999997,
,Arsenal,15,0.965377,1.53446,0.965377,1.53446,223,16,235,28,6,4,1,2,0.9438,0,0,1,0,-0.5690829999999999,
,Arsenal,16,1.79181,0.521847,1.79181,0.521847,139,6,449,37,7,4,3,1,2.4088000000000003,1,0,0,3,1.269963,
,Arsenal,17,0.28161,1.69553,0.28161,1.69553,417,23,315,37,1,6,0,3,0.30169999999999997,0,0,1,0,-1.41392,
,Arsenal,18,0.881818,0.486523,0.881818,0.486523,185,23,323,26,1,8,0,0,1.7956,0,1,0,1,0.395295,
,Arsenal,19,1.42464,1.55463,1.42464,1.55463,199,26,357,15,13,9,1,1,1.2271999999999998,0,1,0,1,-0.12999000000000005,
,Arsenal,20,0.785214,1.49666,0.785214,1.49666,323,23,262,38,7,8,1,2,0.7610999999999999,0,0,1,0,-0.7114460000000001,
,Arsenal,21,1.90747,0.715563,1.90747,0.715563,312,23,326,29,8,5,2,0,2.3440999999999996,1,0,0,3,1.191907,
,Arsenal,22,1.43924,0.317862,1.43924,0.317862,182,32,291,33,8,5,1,1,2.5653,0,1,0,1,1.121378,
,Arsenal,23,1.22882,1.18444,1.22882,1.18444,170,18,323,36,6,1,1,1,1.3849,0,1,0,1,0.044380000000000086,
,Arsenal,24,0.568077,3.38612,0.568077,2.62495,260,12,233,28,2,21,2,2,0.059199999999999996,0,1,0,1,-2.056873,
,Arsenal,25,1.48025,2.24562,1.48025,2.24562,146,22,268,24,4,4,0,0,0.8312,0,1,0,1,-0.7653700000000001,
,Arsenal,26,3.02257,1.16662,3.02257,1.16662,164,29,352,18,16,4,4,0,2.5614,1,0,0,3,1.85595,
,Arsenal,27,1.33567,2.65691,1.33567,2.65691,272,20,291,27,5,1,3,2,0.46340000000000003,1,0,0,3,-1.32124,
,Arsenal,28,1.55974,1.61615,1.55974,1.61615,118,10,347,15,7,10,1,0,1.3209,1,0,0,3,-0.05641000000000007,
,Arsenal,29,0.496759,2.73725,0.496759,1.97608,398,15,237,25,1,13,0,3,0.1375,0,0,1,0,-1.479321,
,Arsenal,30,0.69627,0.670973,0.69627,0.670973,153,16,309,18,4,7,1,2,1.2893999999999999,0,0,1,0,0.025296999999999903,
,Arsenal,31,2.18595,0.738305,2.18595,0.738305,218,24,236,30,6,6,2,0,2.4703,1,0,0,3,1.447645,
,Arsenal,32,1.76496,0.153871,1.76496,0.153871,253,22,260,12,6,2,4,0,2.6274,1,0,0,3,1.611089,
,Arsenal,33,1.28273,0.985166,1.28273,0.985166,323,26,303,10,1,8,2,0,1.6229,1,0,0,3,0.29756399999999994,
,Arsenal,34,1.29023,1.00238,1.29023,1.00238,308,18,152,19,8,5,1,1,1.6106,0,1,0,1,0.28784999999999994,
,Arsenal,35,0.68991,1.81846,0.68991,1.81846,209,16,443,26,6,4,1,2,0.5316,0,0,1,0,-1.12855,
,Arsenal,36,1.31516,2.2233,1.31516,2.2233,306,18,139,29,4,12,2,1,0.7855,1,0,0,3,-0.90814,
,Arsenal,37,0.737137,0.57408,0.737137,0.57408,132,21,354,19,6,4,0,1,1.4656,0,0,1,0,0.163057,
,Arsenal,38,1.95282,3.9197,1.19169,3.15853,197,12,283,25,11,11,3,2,0.3464,1,0,0,3,-1.96684,

71,Aston Villa,1,0.639599,2.57262,0.639599,2.57262,255,19,147,28,2,15,1,3,0.2794,0,0,1,0,-1.933021,
,Aston Villa,2,1.65069,1.62777,1.65069,0.866605,117,9,268,25,12,9,1,2,1.3698,0,0,1,0,0.784085,
,Aston Villa,3,0.855926,1.25668,0.855926,1.25668,265,20,146,27,6,12,2,0,0.9697,1,0,0,3,-0.40075400000000005,
,Aston Villa,4,0.30354,1.41394,0.30354,1.41394,226,25,216,24,5,13,0,1,0.4799,0,0,1,0,-1.1104,
,Aston Villa,5,1.40502,0.535279,1.40502,0.535279,213,22,222,22,4,9,0,0,2.1614999999999998,0,1,0,1,0.869741,
,Aston Villa,6,1.71546,2.53209,1.71546,1.77093,242,22,182,20,8,12,2,3,0.8444,0,0,1,0,-0.05546999999999991,
,Aston Villa,7,0.914266,1.66919,0.914266,1.66919,121,20,199,22,3,2,2,2,0.7663,0,1,0,1,-0.7549239999999999,
